m1_surv,m2_surv
1,1
1,0.99416
1,0.98874
1,0.98652
0.99933,0.9854
0.99858,0.98204
0.99858,0.98204
0.99858,0.98091
0.99858,0.98091
0.99858,0.97978
0.99858,0.97752
0.99705,0.97752
0.99634,0.97638
0.99535,0.97638
0.9946,0.97525
0.99367,0.97525
0.99367,0.97525
0.99367,0.97525
0.99367,0.97525
0.99367,0.97525
0.99213,0.97525
0.99213,0.97411
0.99213,0.97411
0.99041,0.97411
0.99041,0.97411
0.99041,0.97297
0.99041,0.97297
0.98965,0.97183
0.98883,0.97183
0.98883,0.97183
0.98803,0.97067
0.98803,0.97067
0.98803,0.97067
0.9872,0.97067
0.98631,0.97067
0.98631,0.97067
0.98631,0.97067
0.98631,0.97067
0.98631,0.97067
0.98548,0.97067
0.9846,0.96834
0.98331,0.96834
0.98331,0.96834
0.98227,0.96717
0.98129,0.96717
0.98129,0.96717
0.98129,0.96717
0.98129,0.96717
0.9804,0.96717
0.97819,0.96717
0.97721,0.96717
0.97618,0.96717
0.97618,0.96717
0.97513,0.96717
0.97513,0.96717
0.97513,0.96717
0.97088,0.96717
0.96975,0.96717
0.96975,0.96717
0.96975,0.96717
0.96975,0.96598
0.96975,0.96598
0.96847,0.96598
0.96745,0.96598
0.96623,0.96598
0.96623,0.96598
0.96491,0.96598
0.96491,0.96598
0.96491,0.96598
0.96371,0.96598
0.96371,0.96598
0.96371,0.9648
0.96152,0.9648
0.95911,0.9648
0.95911,0.9648
0.95911,0.9648
0.95911,0.9648
0.95911,0.9648
0.95911,0.96361
0.9581,0.96361
0.9541,0.96361
0.95157,0.96361
0.95037,0.96361
0.94761,0.96361
0.94291,0.96361
0.94291,0.96361
0.94124,0.96361
0.94022,0.9624
0.94022,0.96119
0.94022,0.96119
0.93889,0.96119
0.93752,0.96119
0.93623,0.96119
0.93487,0.96119
0.93487,0.96119
0.93487,0.96119
0.93487,0.95996
0.93487,0.95996
0.93228,0.95996
0.93228,0.95996
0.93097,0.95996
0.93097,0.95996
0.92982,0.95996
0.92982,0.95996
0.92452,0.95996
0.92182,0.95996
0.92068,0.95996
0.92068,0.95996
0.92068,0.95996
0.92068,0.95996
0.92068,0.95873
0.91883,0.95873
0.91883,0.95873
0.91883,0.95873
0.91883,0.95873
0.91678,0.95873
0.91678,0.95873
0.91678,0.95873
0.91678,0.95873
0.91394,0.95873
0.91394,0.95873
0.9123,0.95873
0.9123,0.95873
0.91067,0.95873
0.90861,0.9575
0.90861,0.9575
0.90336,0.9575
0.90159,0.9575
0.89798,0.95626
0.89798,0.95626
0.89798,0.95626
0.89798,0.95626
0.89798,0.95626
0.89798,0.95626
0.89798,0.95626
0.89798,0.95626
0.89798,0.95626
0.89798,0.95626
0.89798,0.95626
0.89644,0.95626
0.89644,0.95626
0.89644,0.95626
0.89515,0.95626
0.89515,0.95626
0.8936,0.95626
0.89211,0.95626
0.89045,0.95626
0.888,0.95626
0.88604,0.95626
0.88335,0.95626
0.88335,0.95626
0.88335,0.95626
0.88335,0.95501
0.88335,0.95501
0.88107,0.95501
0.88107,0.95501
0.87932,0.95501
0.87932,0.95501
0.87761,0.95501
0.87761,0.95501
0.87571,0.95501
0.87571,0.95501
0.87571,0.95501
0.87571,0.95501
0.87571,0.95376
0.87571,0.95376
0.87571,0.95376
0.87304,0.95376
0.87095,0.95376
0.87095,0.95376
0.86707,0.95376
0.86707,0.95376
0.86707,0.95376
0.86707,0.95376
0.86497,0.95376
0.86226,0.95376
0.86226,0.95248
0.85754,0.95248
0.85754,0.95248
0.85754,0.9512
0.85754,0.9512
0.85754,0.9512
0.85754,0.9512
0.85754,0.9512
0.85602,0.94992
0.85384,0.94992
0.85231,0.94992
0.84943,0.94992
0.84593,0.94992
0.84393,0.94992
0.84393,0.94992
0.84393,0.94992
0.84393,0.94992
0.84393,0.94992
0.84393,0.94992
0.84393,0.94992
0.84115,0.94992
0.83941,0.94992
0.83941,0.94992
0.83766,0.94863
0.83766,0.94863
0.83766,0.94863
0.83766,0.94863
0.83766,0.94863
0.83766,0.94863
0.83503,0.94863
0.83298,0.94863
0.83298,0.94863
0.83298,0.94863
0.83298,0.94863
0.83298,0.94863
0.83298,0.94863
0.83298,0.94863
0.83298,0.94863
0.83298,0.94863
0.83298,0.94863
0.83298,0.94863
0.83298,0.94863
0.83298,0.94863
0.83298,0.94863
0.83298,0.94863
0.83298,0.94863
0.83298,0.94863
0.83298,0.94863
0.83298,0.94863
0.83006,0.94863
0.83006,0.94863
0.83006,0.94863
0.83006,0.94863
0.83006,0.94863
0.83006,0.94863
0.83006,0.94863
0.82852,0.94863
0.82852,0.94863
0.82852,0.94863
0.82852,0.94863
0.82852,0.94863
0.82852,0.94863
0.82852,0.94863
0.82627,0.94863
0.81844,0.94863
0.81844,0.94863
0.81844,0.94863
0.81844,0.94733
0.81844,0.94733
0.81844,0.94733
0.80961,0.94733
0.80961,0.94733
0.80961,0.94733
0.80961,0.94733
0.80961,0.94733
0.80961,0.94733
0.8062,0.94733
0.8062,0.94733
0.8062,0.94733
0.8062,0.94733
0.79983,0.94733
0.79983,0.94733
0.79983,0.94733
0.79644,0.94603
0.79644,0.94603
0.79644,0.94603
0.79644,0.94472
0.79644,0.94472
0.79644,0.94472
0.79644,0.94472
0.79644,0.94472
0.79644,0.94472
0.79644,0.94472
0.79644,0.94472
0.79644,0.94472
0.79644,0.94472
0.79279,0.94472
0.78992,0.94472
0.78992,0.94341
0.78992,0.94341
0.78992,0.94341
0.78992,0.94341
0.78629,0.94209
0.78629,0.94078
0.78629,0.94078
0.78629,0.94078
0.78629,0.94078
0.78629,0.94078
0.78629,0.94078
0.78629,0.94078
0.78629,0.94078
0.78295,0.94078
0.78295,0.94078
0.78295,0.94078
0.78295,0.94078
0.78295,0.93943
0.78295,0.93943
0.78295,0.93943
0.7799,0.93943
0.7799,0.93943
0.7799,0.93943
0.7799,0.93943
0.7799,0.93943
0.7799,0.93805
0.7799,0.93805
0.7799,0.93805
0.7799,0.93805
0.7799,0.93805
0.7799,0.93805
0.7799,0.93805
0.7799,0.93805
0.7799,0.93805
0.77731,0.93805
0.77096,0.93805
0.77096,0.93805
0.77096,0.93805
0.77096,0.93805
0.77096,0.9366
0.77096,0.9366
0.77096,0.9366
0.76669,0.9366
0.76669,0.9366
0.76669,0.9366
0.76412,0.9366
0.76412,0.9366
0.76168,0.9366
0.76168,0.9366
0.76168,0.9366
