m1_surv,m2_surv
1,1
0.99938,0.99085
0.99889,0.98573
0.99726,0.9811
0.9957,0.98007
0.99395,0.97955
0.99141,0.97722
0.98907,0.97566
0.98713,0.97514
0.98419,0.97383
0.98245,0.97279
0.9806,0.97201
0.97961,0.9707
0.97804,0.9694
0.97562,0.9694
0.97302,0.9673
0.97055,0.96678
0.96888,0.96495
0.96643,0.96442
0.96452,0.96442
0.96383,0.9639
0.9623,0.96284
0.96058,0.96284
0.95973,0.96258
0.95799,0.96258
0.95613,0.96126
0.95526,0.96074
0.95383,0.95994
0.95317,0.95942
0.95158,0.95915
0.94939,0.95862
0.94795,0.95862
0.94515,0.95809
0.9435,0.95703
0.94211,0.9565
0.93963,0.95623
0.9381,0.95543
0.9351,0.9549
0.93361,0.95383
0.93085,0.9533
0.92845,0.9533
0.9264,0.9533
0.92311,0.95277
0.92284,0.95277
0.9216,0.95277
0.92065,0.95223
0.9196,0.95169
0.91893,0.95169
0.91747,0.95169
0.91543,0.95116
0.91393,0.95089
0.91336,0.95062
0.91125,0.95062
0.90965,0.95035
0.90833,0.95035
0.90661,0.95035
0.90521,0.94982
0.90306,0.94955
0.89993,0.94928
0.89887,0.94928
0.89784,0.94928
0.8961,0.94874
0.8931,0.94874
0.89167,0.94793
0.8909,0.9474
0.89031,0.9474
0.89031,0.9474
0.88968,0.94686
0.8884,0.94659
0.88766,0.94659
0.88678,0.94659
0.88651,0.94632
0.88554,0.94632
0.88449,0.94632
0.88257,0.94605
0.88061,0.94578
0.88024,0.94551
0.8784,0.94551
0.87721,0.94551
0.87564,0.94551
0.87457,0.94551
0.8728,0.94551
0.87212,0.94497
0.87174,0.9447
0.87061,0.94443
0.86972,0.94443
0.86894,0.94443
0.86701,0.94443
0.86393,0.94389
0.86291,0.94389
0.86081,0.94389
0.85883,0.94362
0.85739,0.94308
0.85581,0.94254
0.85553,0.94199
0.85482,0.94172
0.8538,0.94145
0.85135,0.94145
0.85029,0.94117
0.84947,0.94117
0.84886,0.94063
0.84756,0.94063
0.84694,0.94036
0.84516,0.94036
0.84439,0.94036
0.84332,0.94036
0.84332,0.94036
0.84218,0.94036
0.84087,0.94008
0.83984,0.94008
0.8376,0.94008
0.83574,0.94008
0.83453,0.94008
0.83423,0.94008
0.83253,0.93981
0.83006,0.93981
0.82968,0.93981
0.82836,0.93953
0.82697,0.93899
0.82634,0.93871
0.82476,0.93871
0.82317,0.93844
0.82131,0.93817
0.81945,0.93817
0.81843,0.93817
0.81656,0.93762
0.81574,0.93762
0.8143,0.93762
0.81302,0.93762
0.81222,0.93707
0.81133,0.93707
0.81058,0.93707
0.80878,0.93679
0.80721,0.93652
0.80671,0.93569
0.80369,0.93569
0.80324,0.93569
0.80122,0.93569
0.79927,0.93542
0.7989,0.93514
0.79776,0.93514
0.79605,0.93514
0.79408,0.93459
0.79258,0.93431
0.7894,0.93431
0.78758,0.93431
0.78726,0.93431
0.78627,0.93404
0.78537,0.93404
0.78499,0.93376
0.7837,0.93376
0.78277,0.93376
0.77983,0.93349
0.77784,0.93349
